seed,position,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep
763785,Defender,73,92,88,95,20,39,64,587,2,0,58,50,70,false,50,50
763786,Forward,63,88,86,91,20,39,187,575,4,0,54,50,70,false,50,50
763787,Midfielder,75,92,88,94,20,39,31,576,1,0,53,50,70,false,50,50
763796,Defender,74,90,87,94,20,39,51,569,2,0,51,50,70,false,50,50
763797,Forward,65,91,89,94,20,39,173,568,1,0,50,50,70,false,50,50
763798,Midfielder,73,90,88,93,20,39,36,579,4,0,55,50,70,false,50,50
763799,Defender,74,89,85,93,20,39,51,579,2,0,55,50,70,false,50,50
763792,Forward,64,91,89,93,20,39,186,584,3,0,52,50,70,false,50,50
763793,Midfielder,75,91,88,94,20,39,33,584,3,0,53,50,70,false,50,50
763794,Defender,74,91,88,94,20,39,60,583,2,0,59,50,70,false,50,50
763795,Forward,64,94,92,96,20,39,172,581,2,0,60,50,70,false,50,50
763804,Midfielder,73,89,86,92,20,39,31,579,2,0,57,50,70,false,50,50
763805,Defender,71,89,86,92,20,39,51,578,4,0,56,50,70,false,50,50
763806,Forward,65,90,88,93,20,39,178,581,2,0,52,50,70,false,50,50
763807,Midfielder,75,91,89,94,20,39,34,581,4,0,52,50,70,false,50,50
763800,Defender,75,92,89,95,20,39,62,575,4,0,49,50,70,false,50,50
763801,Forward,65,91,89,93,20,39,185,574,4,0,48,50,70,false,50,50
763802,Midfielder,76,94,92,97,20,39,25,564,1,0,51,50,70,false,50,50
763803,Defender,75,90,88,94,20,39,57,565,2,0,52,50,70,false,50,50
763812,Forward,66,92,90,95,20,39,181,600,3,0,62,52,70,false,50,50
763813,Midfielder,74,90,88,93,20,39,38,600,4,0,62,52,70,false,50,50
763814,Defender,76,92,88,95,20,39,53,600,2,0,58,50,70,false,50,50
763815,Forward,65,90,88,93,20,39,183,600,2,0,55,50,70,false,50,50
763808,Midfielder,77,93,88,96,20,39,32,600,1,0,62,51,70,false,50,50
763809,Defender,73,88,84,91,20,39,48,600,2,0,62,51,70,false,50,50
763810,Forward,63,88,86,91,20,39,186,600,1,0,64,51,70,false,50,50
763811,Midfielder,74,89,85,92,20,39,29,600,1,0,67,54,70,false,50,50
763820,Defender,73,90,87,93,20,39,52,600,1,0,62,51,70,false,50,50
763821,Forward,63,90,88,93,20,39,179,600,4,0,61,51,70,false,50,50
763822,Midfielder,74,91,89,94,20,39,29,600,2,0,61,52,70,false,50,50
763823,Defender,76,91,87,94,20,39,60,600,2,0,60,50,70,false,50,50
763816,Forward,65,90,88,93,20,39,141,600,1,0,61,51,70,false,50,50
763817,Midfielder,77,94,90,96,20,39,45,600,2,0,62,52,70,false,50,50
763818,Defender,74,91,88,94,20,39,58,600,3,0,64,52,70,false,50,50
763819,Forward,64,91,89,94,20,39,188,600,4,0,65,52,70,false,50,50
763828,Midfielder,74,90,87,93,20,39,31,600,0,0,62,51,70,false,50,50
763829,Defender,74,90,87,94,20,39,61,600,3,0,61,51,70,false,50,50
763830,Forward,64,89,87,92,20,39,183,600,3,0,65,52,70,false,50,50
763831,Midfielder,73,89,87,92,20,39,37,600,2,0,66,52,70,false,50,50
763824,Defender,74,89,86,93,20,39,76,600,5,0,58,50,70,false,50,50
763825,Forward,64,91,89,93,20,39,178,600,1,0,58,50,70,false,50,50
763826,Midfielder,75,91,88,94,20,39,21,600,1,0,58,50,70,false,50,50
763827,Defender,74,89,85,92,20,39,46,600,2,0,58,50,70,false,50,50
763836,Forward,62,90,88,93,20,39,186,600,1,0,56,50,70,false,50,50
763837,Midfielder,75,91,88,94,20,39,34,600,2,0,55,50,70,false,50,50
763838,Defender,73,91,88,94,20,39,46,600,2,0,59,50,70,false,50,50
763839,Forward,67,94,92,97,20,39,189,600,3,0,60,50,70,false,50,50
763832,Midfielder,72,90,88,93,20,39,28,600,2,0,56,50,70,false,50,50
763833,Defender,74,89,86,93,20,39,63,600,3,0,56,50,70,false,50,50
763834,Forward,65,91,89,93,20,39,183,600,1,0,58,50,70,false,50,50
763835,Midfielder,77,93,90,96,20,39,29,600,4,0,58,50,70,false,50,50
763716,Defender,75,90,87,94,20,39,55,587,2,0,48,50,70,false,50,50
763717,Forward,64,90,88,93,20,39,164,588,2,0,48,50,70,false,50,50
763718,Midfielder,74,90,88,93,20,39,41,586,3,0,47,50,70,false,50,50
763719,Defender,75,89,87,93,20,39,67,585,2,0,47,50,70,false,50,50
763712,Forward,63,93,92,96,20,39,192,589,0,0,48,50,70,false,50,50
763713,Midfielder,75,91,87,94,20,39,34,590,4,0,48,50,70,false,50,50
763714,Defender,75,91,88,94,20,39,48,588,1,0,47,50,70,false,50,50
763715,Forward,63,88,86,91,20,39,193,589,3,0,47,50,70,false,50,50
763724,Midfielder,76,92,90,95,20,39,40,591,4,0,48,50,70,false,50,50
763725,Defender,73,91,88,94,20,39,65,590,2,0,48,50,70,false,50,50
763726,Forward,65,91,90,94,20,39,170,589,3,0,48,50,70,false,50,50
763727,Midfielder,74,91,89,94,20,39,26,589,2,0,48,50,70,false,50,50
763720,Defender,76,92,87,95,20,39,58,595,3,0,48,50,70,false,50,50
763721,Forward,66,93,91,96,20,39,168,595,1,0,48,50,70,false,50,50
763722,Midfielder,70,90,88,93,20,39,43,591,2,0,48,50,70,false,50,50
763723,Defender,74,90,87,94,20,39,52,590,3,0,48,50,70,false,50,50
763732,Forward,65,91,89,93,20,39,191,587,1,0,41,50,70,false,50,50
763733,Midfielder,73,89,87,92,20,39,33,587,3,0,41,50,70,false,50,50
763734,Defender,75,93,90,96,20,39,53,588,2,0,42,50,70,false,50,50
763735,Forward,64,90,88,93,20,39,214,588,2,0,42,50,70,false,50,50
763728,Midfielder,73,91,89,93,20,39,35,591,2,0,41,50,70,false,50,50
763729,Defender,73,89,86,93,20,39,58,591,0,0,41,50,70,false,50,50
763730,Forward,67,93,91,96,20,39,179,592,1,0,42,50,70,false,50,50
763731,Midfielder,74,93,91,96,20,39,28,591,4,0,42,50,70,false,50,50
763740,Defender,75,92,89,96,20,39,66,599,1,0,42,50,70,false,50,50
763741,Forward,64,90,88,93,20,39,194,598,2,0,41,50,70,false,50,50
763742,Midfielder,76,92,87,95,20,39,37,589,4,0,41,50,70,false,50,50
763743,Defender,77,93,85,96,20,39,56,589,1,0,41,50,70,false,50,50
763736,Forward,65,91,89,94,20,39,197,580,3,0,41,50,70,false,50,50
763737,Midfielder,75,91,89,94,20,39,37,580,2,0,41,50,70,false,50,50
763738,Defender,74,89,86,93,20,39,67,591,0,0,41,50,70,false,50,50
763739,Forward,64,91,89,93,20,39,202,593,3,0,42,50,70,false,50,50
763748,Midfielder,73,88,86,91,20,39,32,600,1,0,51,50,70,false,50,50
763749,Defender,73,91,88,94,20,39,67,600,2,0,51,50,70,false,50,50
763750,Forward,67,93,91,96,20,39,192,600,1,0,50,50,70,false,50,50
763751,Midfielder,74,90,88,93,20,39,34,600,2,0,50,50,70,false,50,50
763744,Defender,76,92,87,95,20,39,52,596,3,0,51,50,70,false,50,50
763745,Forward,62,90,88,93,20,39,186,597,1,0,51,50,70,false,50,50
763746,Midfielder,74,94,92,97,20,39,32,599,1,0,50,50,70,false,50,50
763747,Defender,75,90,87,94,20,39,58,598,2,0,50,50,70,false,50,50
763756,Forward,61,91,89,94,20,39,180,594,6,0,47,50,70,false,50,50
763757,Midfielder,75,91,87,93,20,39,35,594,3,0,47,50,70,false,50,50
763758,Defender,74,90,87,94,20,39,69,595,3,0,46,50,70,false,50,50
763759,Forward,65,91,90,94,20,39,193,595,0,0,46,50,70,false,50,50
763752,Midfielder,75,92,87,94,20,39,29,600,0,0,47,50,70,false,50,50
763753,Defender,75,93,90,96,20,39,67,600,1,0,47,50,70,false,50,50
763754,Forward,64,90,88,93,20,39,197,598,2,0,46,50,70,false,50,50
763755,Midfielder,74,90,88,93,20,39,36,598,2,0,46,50,70,false,50,50
763764,Defender,75,93,90,96,20,39,66,597,1,0,54,50,70,false,50,50
