seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,scouted_avg,offer_seasons,offers_total,offers_wage_avg,offers_wage_max
763844,Forward,Low,64,85,83,97,20,39,161,585,1,0,54,50,70,false,50,50,21347,97,9,13,230,292
763845,Forward,Medium,64,87,85,93,20,39,173,586,2,0,55,50,70,false,50,50,21821,96,10,14,205,293
763846,Forward,High,64,92,90,95,20,39,182,594,4,0,50,50,70,false,50,50,21578,99,9,14,224,291
763847,Midfielder,Low,64,81,78,93,20,39,25,593,3,0,50,50,70,false,50,50,21441,98,11,16,212,290
763840,Midfielder,Medium,64,87,84,94,20,39,34,596,3,0,60,50,70,false,50,50,25365,99,9,12,227,283
763841,Midfielder,High,64,89,88,93,20,39,27,597,2,0,60,50,70,false,50,50,25839,99,12,19,230,283
763842,Defender,Low,64,78,74,90,20,39,48,598,4,0,60,50,70,false,50,50,25739,99,9,13,196,277
763843,Defender,Medium,64,87,84,94,20,39,67,598,2,0,60,50,70,false,50,50,25696,99,10,14,208,279
763852,Defender,High,64,89,86,93,20,39,56,600,4,0,66,53,70,false,50,50,29140,99,10,14,193,274
763853,Forward,Low,64,83,81,94,20,39,165,600,0,0,66,53,70,false,50,50,28958,99,10,13,220,295
763854,Forward,Medium,63,87,85,94,20,39,168,600,3,0,62,51,70,false,50,50,27646,99,11,16,244,305
763855,Forward,High,64,93,92,96,20,39,204,600,1,0,62,51,70,false,50,50,27681,99,11,16,228,284
763848,Midfielder,Low,64,83,78,96,20,39,26,598,0,0,61,51,70,false,50,50,25534,99,12,20,211,300
763849,Midfielder,Medium,64,88,86,95,20,39,25,597,1,0,60,50,70,false,50,50,25448,99,10,14,218,297
763850,Midfielder,High,64,89,88,93,20,39,26,582,4,0,54,50,70,false,50,50,20177,96,9,11,191,289
763851,Defender,Low,64,80,76,92,20,39,40,583,1,0,53,50,70,false,50,50,20177,96,12,18,198,277
763860,Defender,Medium,64,87,84,94,20,39,45,593,2,0,60,50,70,false,50,50,24060,97,11,15,197,294
763861,Defender,High,64,91,86,95,20,39,59,590,5,0,58,50,70,false,50,50,23187,97,11,16,202,284
763862,Forward,Low,63,82,80,93,20,39,161,590,2,0,54,50,70,false,50,50,21691,97,10,14,194,271
763863,Forward,Medium,64,87,85,93,20,39,172,591,2,0,54,50,70,false,50,50,22030,98,10,12,239,288
763856,Forward,High,64,91,89,94,20,39,192,594,2,0,57,50,70,false,50,50,24794,99,8,14,226,293
