position,intensity,season,avg_ovr,n
Forward,Low,1,68.522,11000
Forward,Low,2,73.466,11000
Forward,Low,3,80.062,11000
Forward,Low,4,86.804,11000
Forward,Low,5,88.396,11000
Forward,Low,6,88.764,11000
Forward,Low,7,89.079,11000
Forward,Low,8,89.563,11000
Forward,Low,9,90.553,11000
Forward,Low,10,90.710,11000
Forward,Low,11,90.667,11000
Forward,Low,12,90.593,11000
Forward,Low,13,90.524,11000
Forward,Low,14,90.417,11000
Forward,Low,15,90.180,11000
Forward,Low,16,90.019,11000
Forward,Low,17,89.835,11000
Forward,Low,18,89.411,11000
Forward,Low,19,88.981,11000
Forward,Low,20,88.557,11000
Forward,Medium,1,71.368,11000
Forward,Medium,2,79.165,11000
Forward,Medium,3,88.039,11000
Forward,Medium,4,88.793,11000
Forward,Medium,5,89.456,11000
Forward,Medium,6,90.668,11000
Forward,Medium,7,90.676,11000
Forward,Medium,8,90.676,11000
Forward,Medium,9,90.676,11000
Forward,Medium,10,90.676,11000
Forward,Medium,11,90.636,11000
Forward,Medium,12,90.552,11000
Forward,Medium,13,90.483,11000
Forward,Medium,14,90.382,11000
Forward,Medium,15,90.187,11000
Forward,Medium,16,90.021,11000
Forward,Medium,17,89.845,11000
Forward,Medium,18,89.475,11000
Forward,Medium,19,89.090,11000
Forward,Medium,20,88.774,11000
Forward,High,1,70.344,11000
Forward,High,2,76.455,11000
Forward,High,3,84.681,11000
Forward,High,4,88.416,11000
Forward,High,5,88.846,11000
Forward,High,6,89.308,11000
Forward,High,7,90.190,11000
Forward,High,8,90.705,11000
Forward,High,9,90.706,11000
Forward,High,10,90.706,11000
Forward,High,11,90.674,11000
Forward,High,12,90.601,11000
Forward,High,13,90.532,11000
Forward,High,14,90.440,11000
Forward,High,15,90.262,11000
Forward,High,16,90.116,11000
Forward,High,17,89.951,11000
Forward,High,18,89.661,11000
Forward,High,19,89.260,11000
Forward,High,20,88.988,11000
Midfielder,Low,1,71.000,11000
Midfielder,Low,2,76.600,11000
Midfielder,Low,3,81.426,11000
Midfielder,Low,4,85.945,11000
Midfielder,Low,5,88.623,11000
Midfielder,Low,6,89.101,11000
Midfielder,Low,7,89.412,11000
Midfielder,Low,8,89.756,11000
Midfielder,Low,9,90.068,11000
Midfielder,Low,10,90.163,11000
Midfielder,Low,11,89.936,11000
Midfielder,Low,12,89.583,11000
Midfielder,Low,13,89.346,11000
Midfielder,Low,14,89.123,11000
Midfielder,Low,15,88.818,11000
Midfielder,Low,16,88.596,11000
Midfielder,Low,17,88.349,11000
Midfielder,Low,18,87.933,11000
Midfielder,Low,19,87.439,11000
Midfielder,Low,20,86.966,11000
Midfielder,Medium,1,74.600,11000
Midfielder,Medium,2,83.866,11000
Midfielder,Medium,3,87.350,11000
Midfielder,Medium,4,89.077,11000
Midfielder,Medium,5,89.643,11000
Midfielder,Medium,6,90.100,11000
Midfielder,Medium,7,90.139,11000
Midfielder,Medium,8,90.139,11000
Midfielder,Medium,9,90.139,11000
Midfielder,Medium,10,90.139,11000
Midfielder,Medium,11,89.908,11000
Midfielder,Medium,12,89.547,11000
Midfielder,Medium,13,89.309,11000
Midfielder,Medium,14,89.090,11000
Midfielder,Medium,15,88.860,11000
Midfielder,Medium,16,88.633,11000
Midfielder,Medium,17,88.375,11000
Midfielder,Medium,18,88.013,11000
Midfielder,Medium,19,87.716,11000
Midfielder,Medium,20,87.298,11000
Midfielder,High,1,73.000,11000
Midfielder,High,2,80.499,11000
Midfielder,High,3,85.787,11000
Midfielder,High,4,88.342,11000
Midfielder,High,5,89.127,11000
Midfielder,High,6,89.545,11000
Midfielder,High,7,89.946,11000
Midfielder,High,8,90.145,11000
Midfielder,High,9,90.151,11000
Midfielder,High,10,90.151,11000
Midfielder,High,11,89.989,11000
Midfielder,High,12,89.639,11000
Midfielder,High,13,89.385,11000
Midfielder,High,14,89.168,11000
Midfielder,High,15,88.921,11000
Midfielder,High,16,88.723,11000
Midfielder,High,17,88.507,11000
Midfielder,High,18,88.159,11000
Midfielder,High,19,87.854,11000
Midfielder,High,20,87.560,11000
Defender,Low,1,70.740,11000
Defender,Low,2,76.602,11000
Defender,Low,3,81.300,11000
Defender,Low,4,85.639,11000
Defender,Low,5,87.241,11000
Defender,Low,6,88.535,11000
Defender,Low,7,88.884,11000
Defender,Low,8,89.228,11000
Defender,Low,9,89.878,11000
Defender,Low,10,90.060,11000
Defender,Low,11,89.889,11000
Defender,Low,12,89.572,11000
Defender,Low,13,89.340,11000
Defender,Low,14,89.167,11000
Defender,Low,15,88.865,11000
Defender,Low,16,88.493,11000
Defender,Low,17,88.141,11000
Defender,Low,18,87.499,11000
Defender,Low,19,86.901,11000
Defender,Low,20,86.224,11000
Defender,Medium,1,74.399,11000
Defender,Medium,2,83.819,11000
Defender,Medium,3,86.755,11000
Defender,Medium,4,88.517,11000
Defender,Medium,5,89.151,11000
Defender,Medium,6,89.989,11000
Defender,Medium,7,90.032,11000
Defender,Medium,8,90.032,11000
Defender,Medium,9,90.032,11000
Defender,Medium,10,90.032,11000
Defender,Medium,11,89.867,11000
Defender,Medium,12,89.547,11000
Defender,Medium,13,89.316,11000
Defender,Medium,14,89.145,11000
Defender,Medium,15,88.904,11000
Defender,Medium,16,88.556,11000
Defender,Medium,17,88.180,11000
Defender,Medium,18,87.641,11000
Defender,Medium,19,87.090,11000
Defender,Medium,20,86.490,11000
Defender,High,1,73.000,11000
Defender,High,2,80.400,11000
Defender,High,3,85.632,11000
Defender,High,4,87.196,11000
Defender,High,5,88.612,11000
Defender,High,6,89.016,11000
Defender,High,7,89.577,11000
Defender,High,8,90.039,11000
Defender,High,9,90.043,11000
Defender,High,10,90.043,11000
Defender,High,11,89.918,11000
Defender,High,12,89.619,11000
Defender,High,13,89.364,11000
Defender,High,14,89.189,11000
Defender,High,15,88.981,11000
Defender,High,16,88.720,11000
Defender,High,17,88.318,11000
Defender,High,18,87.874,11000
Defender,High,19,87.319,11000
Defender,High,20,86.875,11000
